CustomerKey,ProductKey,CurrencyKey,SalesOrderNumber,SalesTerritoryKey,TaxAmt,Freight,SalesAmount,Year,Month,Day
11000,393,6,TO70843,9,272,85,3399.99,2019,12,26
11000,393,6,TO70843,9,272,85,3399.99,2020,07,02
11000,393,6,TO70843,9,272,85,3399.99,2019,04,14
11000,393,6,TO70843,9,272,85,3399.99,2019,03,07
11000,494,6,TO17301,9,272,85,3399.99,2020,07,22
11000,494,6,TO17301,9,272,85,3399.99,2020,06,18
11000,494,6,TO17301,9,272,85,3399.99,2019,08,14
11000,494,6,TO17301,9,272,85,3399.99,2019,05,09
11000,549,6,TO84892,9,272,85,3399.99,2020,09,16
11000,549,6,TO84892,9,272,85,3399.99,2020,12,08
11000,549,6,TO84892,9,272,85,3399.99,2019,04,09
11000,751,6,TO37809,9,272,85,3399.99,2019,02,28
11000,751,6,TO37809,9,272,85,3399.99,2019,04,03
11000,751,6,TO37809,9,272,85,3399.99,2020,07,13
11000,751,6,TO37809,9,272,85,3399.99,2020,01,12
11000,909,6,TO87977,9,272,85,3399.99,2019,09,30
11000,909,6,TO87977,9,272,85,3399.99,2020,03,02
11000,909,6,TO87977,9,272,85,3399.99,2020,09,21
11000,909,6,TO87977,9,272,85,3399.99,2019,01,06
11001,350,6,TO72012,9,270,84.37,3374.99,2020,11,17
11001,350,6,TO72012,9,270,84.37,3374.99,2020,07,13
11001,350,6,TO72012,9,270,84.37,3374.99,2019,10,28
11001,350,6,TO72012,9,270,84.37,3374.99,2019,02,13
11001,531,6,TO33737,9,270,84.37,3374.99,2019,06,02
11001,531,6,TO33737,9,270,84.37,3374.99,2019,05,09
11001,531,6,TO33737,9,270,84.37,3374.99,2019,07,09
11001,531,6,TO33737,9,270,84.37,3374.99,2020,01,14
11001,729,6,TO99713,9,270,84.37,3374.99,2020,04,15
11001,729,6,TO99713,9,270,84.37,3374.99,2019,12,07
11001,729,6,TO99713,9,270,84.37,3374.99,2019,01,13
11001,729,6,TO99713,9,270,84.37,3374.99,2019,07,09
11001,849,6,TO52637,9,270,84.37,3374.99,2019,12,08
11001,849,6,TO52637,9,270,84.37,3374.99,2020,01,30
11001,849,6,TO52637,9,270,84.37,3374.99,2020,03,16
11001,849,6,TO52637,9,270,84.37,3374.99,2020,01,18
11001,962,6,TO34141,9,270,84.37,3374.99,2019,12,22
11001,962,6,TO34141,9,270,84.37,3374.99,2020,06,05
11001,962,6,TO34141,9,270,84.37,3374.99,2019,09,21
11001,962,6,TO34141,9,270,84.37,3374.99,2019,11,10
11002,218,6,TO10774,9,272,85,3399.99,2019,09,18
11002,218,6,TO10774,9,272,85,3399.99,2020,06,03
11002,218,6,TO10774,9,272,85,3399.99,2020,12,06
11002,218,6,TO10774,9,272,85,3399.99,2019,12,22
11002,331,6,TO10233,9,272,85,3399.99,2019,03,08
11002,331,6,TO10233,9,272,85,3399.99,2020,01,24
11002,331,6,TO10233,9,272,85,3399.99,2020,07,17
11002,331,6,TO10233,9,272,85,3399.99,2019,07,20
11002,429,6,TO99267,9,272,85,3399.99,2020,06,29
11002,429,6,TO99267,9,272,85,3399.99,2019,04,23
11002,429,6,TO99267,9,272,85,3399.99,2019,05,10
11002,429,6,TO99267,9,272,85,3399.99,2019,06,07
11002,438,6,TO38879,9,272,85,3399.99,2020,08,23
11002,438,6,TO38879,9,272,85,3399.99,2019,01,17
11002,438,6,TO38879,9,272,85,3399.99,2019,02,16
11002,438,6,TO38879,9,272,85,3399.99,2020,07,24
11002,711,6,TO45780,9,272,85,3399.99,2019,04,22
11002,711,6,TO45780,9,272,85,3399.99,2020,03,28
11002,711,6,TO45780,9,272,85,3399.99,2019,02,21
11002,711,6,TO45780,9,272,85,3399.99,2019,03,21
11003,130,6,TO95896,9,272,85,3399.99,2020,12,28
11003,130,6,TO95896,9,272,85,3399.99,2019,01,18
11003,130,6,TO95896,9,272,85,3399.99,2019,02,23
11003,130,6,TO95896,9,272,85,3399.99,2020,05,30
11003,378,6,TO26801,9,272,85,3399.99,2020,09,09
11003,378,6,TO26801,9,272,85,3399.99,2019,02,11
11003,378,6,TO26801,9,272,85,3399.99,2020,02,15
11003,378,6,TO26801,9,272,85,3399.99,2020,12,09
11003,486,6,TO93835,9,272,85,3399.99,2020,08,15
11003,486,6,TO93835,9,272,85,3399.99,2019,12,11
11003,486,6,TO93835,9,272,85,3399.99,2020,03,25
11003,486,6,TO93835,9,272,85,3399.99,2019,06,12
11003,641,6,TO19293,9,272,85,3399.99,2020,05,25
11003,641,6,TO19293,9,272,85,3399.99,2020,02,14
11003,641,6,TO19293,9,272,85,3399.99,2020,03,12
11003,641,6,TO19293,9,272,85,3399.99,2019,11,21
11003,891,6,TO96850,9,272,85,3399.99,2020,08,10
11003,891,6,TO96850,9,272,85,3399.99,2020,07,15
11003,891,6,TO96850,9,272,85,3399.99,2019,05,20
11003,891,6,TO96850,9,272,85,3399.99,2019,03,06
11004,299,6,TO53379,9,272,85,3399.99,2020,12,11
11004,299,6,TO53379,9,272,85,3399.99,2019,08,09
11004,299,6,TO53379,9,272,85,3399.99,2020,02,04
11004,299,6,TO53379,9,272,85,3399.99,2020,11,17
11004,544,6,TO39687,9,272,85,3399.99,2020,06,09
11004,544,6,TO39687,9,272,85,3399.99,2020,09,24
11004,544,6,TO39687,9,272,85,3399.99,2019,10,01
11004,544,6,TO39687,9,272,85,3399.99,2020,09,11
11004,650,6,TO57175,9,272,85,3399.99,2019,05,04
11004,650,6,TO57175,9,272,85,3399.99,2020,01,17
11004,650,6,TO57175,9,272,85,3399.99,2019,08,25
11004,650,6,TO57175,9,272,85,3399.99,2020,05,21
11004,667,6,TO66127,9,272,85,3399.99,2019,07,03
11004,667,6,TO66127,9,272,85,3399.99,2019,08,13
11004,667,6,TO66127,9,272,85,3399.99,2020,04,30
11004,667,6,TO66127,9,272,85,3399.99,2020,12,21
11004,949,6,TO12440,9,272,85,3399.99,2019,03,24
11004,949,6,TO12440,9,272,85,3399.99,2019,01,25
11004,949,6,TO12440,9,272,85,3399.99,2020,07,03
11004,949,6,TO12440,9,272,85,3399.99,2020,05,23
11005,171,6,TO83094,9,270,84.37,3374.99,2020,04,19
11005,171,6,TO83094,9,270,84.37,3374.99,2019,07,15
11005,171,6,TO83094,9,270,84.37,3374.99,2019,04,28
11005,171,6,TO83094,9,270,84.37,3374.99,2020,07,17
11005,377,6,TO67019,9,270,84.37,3374.99,2020,01,01
11005,377,6,TO67019,9,270,84.37,3374.99,2020,06,29
11005,377,6,TO67019,9,270,84.37,3374.99,2020,11,28
11005,377,6,TO67019,9,270,84.37,3374.99,2019,11,03
11005,405,6,TO35405,9,270,84.37,3374.99,2020,12,19
11005,405,6,TO35405,9,270,84.37,3374.99,2020,07,21
11005,405,6,TO35405,9,270,84.37,3374.99,2020,05,22
11005,405,6,TO35405,9,270,84.37,3374.99,2020,09,29
11005,411,6,TO28852,9,270,84.37,3374.99,2020,09,17
11005,411,6,TO28852,9,270,84.37,3374.99,2020,11,16
11005,411,6,TO28852,9,270,84.37,3374.99,2019,12,18
11005,411,6,TO28852,9,270,84.37,3374.99,2020,01,20
11005,613,6,TO10715,9,270,84.37,3374.99,2019,02,01
11005,613,6,TO10715,9,270,84.37,3374.99,2019,08,11
11005,613,6,TO10715,9,270,84.37,3374.99,2020,12,09
11005,613,6,TO10715,9,270,84.37,3374.99,2020,08,04
11006,125,6,TO62289,9,272,85,3399.99,2019,07,04
11006,125,6,TO62289,9,272,85,3399.99,2019,08,07
11006,125,6,TO62289,9,272,85,3399.99,2019,05,30
11006,125,6,TO62289,9,272,85,3399.99,2019,09,08
11006,485,6,TO58984,9,272,85,3399.99,2020,02,22
11006,485,6,TO58984,9,272,85,3399.99,2019,05,09
